# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.487293394225e-10       7.297354992207e-15       4.804756791051e-13       0.000000000000e+00       8.803634400820e-09       4.793549540134e-10      -2.510996285640e-12 
    3       1.404712649966e-10       1.234981204025e-14       6.047521461798e-13       0.000000000000e+00       5.406281652649e-09       3.424114951728e-10      -2.207837497282e-12 
    4       1.321769932396e-10       1.440718862893e-14       6.257312192051e-13       0.000000000000e+00       3.757391860438e-09       2.610211859764e-10      -1.760323170186e-12 
    5       1.255692017383e-10       1.330993200360e-14       5.860487608010e-13       0.000000000000e+00       2.804651325776e-09       2.073792873746e-10      -1.305671532371e-12 
    6       1.206957683986e-10       1.025835626828e-14       5.157203350518e-13       0.000000000000e+00       2.191053131008e-09       1.695186204194e-10      -8.912745083415e-13 
    7       1.172462843474e-10       6.790888984958e-15       4.351536473105e-13       0.000000000000e+00       1.767961609489e-09       1.414852770768e-10      -5.412695320514e-13 
    8       1.149472304145e-10       4.009374548749e-15       3.565669739764e-13       0.000000000000e+00       1.461364538557e-09       1.200194152684e-10      -2.664004067801e-13 
    9       1.135534510679e-10       2.318632548468e-15       2.872171457113e-13       0.000000000000e+00       1.230546005157e-09       1.031975313508e-10      -6.823585698295e-14 
   10       1.128365546847e-10       1.563471727621e-15       2.312193150783e-13       0.000000000000e+00       1.051595535817e-09       8.977125634993e-11       5.863008091313e-14 
   11       1.126834983105e-10       1.341527292717e-15       1.902151239088e-13       0.000000000000e+00       8.867591542353e-10       7.918036281684e-11       1.239234193844e-13 
   12       1.129383460638e-10       1.284142988212e-15       1.639059077874e-13       0.000000000000e+00       7.748568163977e-10       6.995886549128e-11       1.421751188829e-13 
   13       1.135243938115e-10       1.195663288194e-15       1.505457739945e-13       0.000000000000e+00       6.829943768295e-10       6.248925163568e-11       1.274453260732e-13 
   14       1.143493328087e-10       1.049650985671e-15       1.475061154765e-13       0.000000000000e+00       6.065637234454e-10       5.600992153499e-11       9.226696371465e-14 
   15       1.154044137923e-10       9.064062110957e-16       1.518239175580e-13       0.000000000000e+00       5.422275033036e-10       5.060773088869e-11       4.898833613978e-14 
   16       1.166165878430e-10       8.267094385981e-16       1.605070885832e-13       0.000000000000e+00       4.875255368297e-10       4.599199172909e-11       6.681499592929e-15 
   17       1.179698592910e-10       8.272146607447e-16       1.709713844233e-13       0.000000000000e+00       4.405992485982e-10       4.198369376012e-11      -2.834673799266e-14 
   18       1.194185072762e-10       8.801048096605e-16       1.814328393381e-13       0.000000000000e+00       3.998686846222e-10       3.846744777856e-11      -5.255591886819e-14 
   19       1.209725092754e-10       9.528304811687e-16       1.909365163524e-13       0.000000000000e+00       3.646878238174e-10       3.539237325748e-11      -6.510461806041e-14 
   20       1.226080801306e-10       1.012269797268e-15       1.987216922827e-13       0.000000000000e+00       3.337011934624e-10       3.265122268583e-11      -6.688103990073e-14 
   21       1.243275082466e-10       1.061832212300e-15       2.048585228759e-13       0.000000000000e+00       3.064224925722e-10       3.019799433253e-11      -6.006074348483e-14 
   22       1.261091853594e-10       1.120092953998e-15       2.097987052793e-13       0.000000000000e+00       2.821995008993e-10       2.797085969700e-11      -4.801594937561e-14 
   23       1.279519918830e-10       1.206193483273e-15       2.140217691406e-13       0.000000000000e+00       2.606995738160e-10       2.595926121733e-11      -3.367523356243e-14 
   24       1.298407623143e-10       1.338219126074e-15       2.180825787266e-13       0.000000000000e+00       2.414261051409e-10       2.414651533750e-11      -2.010378277847e-14 
   25       1.317811405826e-10       1.516373268569e-15       2.224445694401e-13       0.000000000000e+00       2.241526566031e-10       2.252422216726e-11      -9.137113656018e-15 
   26       1.337679137141e-10       1.733560354958e-15       2.275040335540e-13       0.000000000000e+00       2.085668159606e-10       2.106875853585e-11      -2.113026617750e-15 
   27       1.357906848314e-10       1.983483166293e-15       2.332857524024e-13       0.000000000000e+00       1.944817623477e-10       1.975469437294e-11       7.728778598324e-16 
   28       1.378293492562e-10       2.259906608462e-15       2.396259433060e-13       0.000000000000e+00       1.816548102348e-10       1.854828119363e-11      -8.995567224903e-17 
