# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.487298262886e-10       7.297593818823e-15       4.804756739224e-13       2.388265841193e-19       8.803634400820e-09       4.793549540134e-10      -2.510996285640e-12 
    3       1.404722365371e-10       1.235028992502e-14       6.047521231270e-13       4.778844563188e-19       5.406281652649e-09       3.424114951728e-10      -2.207837497282e-12 
    4       1.321786076581e-10       1.440798561041e-14       6.257311531332e-13       7.969799283017e-19       3.757391860438e-09       2.610211859764e-10      -1.760323170186e-12 
    5       1.255716144675e-10       1.331112840792e-14       5.860486107553e-13       1.196399045609e-18       2.804651325776e-09       2.073792873746e-10      -1.305671532371e-12 
    6       1.206991315332e-10       1.026003276349e-14       5.157200411164e-13       1.676480884488e-18       2.191053131008e-09       1.695186204194e-10      -8.912745083415e-13 
    7       1.172507461554e-10       6.793126624400e-15       4.351531279267e-13       2.237606321647e-18       1.767961609489e-09       1.414852770768e-10      -5.412695320514e-13 
    8       1.149529349352e-10       4.012254802313e-15       3.565661237868e-13       2.880185590180e-18       1.461364538557e-09       1.200194152684e-10      -2.664004067801e-13 
    9       1.135605378041e-10       2.322237320639e-15       2.872158339560e-13       3.604645113703e-18       1.230546005157e-09       1.031975313508e-10      -6.823585698295e-14 
   10       1.128451583923e-10       1.567883361891e-15       2.312173845484e-13       4.411414137855e-18       1.051595535817e-09       8.977125634993e-11       5.863008091313e-14 
   11       1.126937488859e-10       1.346828562283e-15       1.902123904387e-13       5.300911684205e-18       8.867591542353e-10       7.918036281684e-11       1.239234193844e-13 
   12       1.129503685266e-10       1.290417073356e-15       1.639021602464e-13       6.273534336268e-18       7.748568163977e-10       6.995886549128e-11       1.421751188829e-13 
   13       1.135383083764e-10       1.202993741159e-15       1.505407747212e-13       7.329645331205e-18       6.829943768295e-10       6.248925163568e-11       1.274453260732e-13 
   14       1.143652550385e-10       1.058121684260e-15       1.474996010819e-13       8.469565375452e-18       6.065637234454e-10       5.600992153499e-11       9.226696371465e-14 
   15       1.154224548213e-10       9.161013025607e-16       1.518156000125e-13       9.693565530197e-18       5.422275033036e-10       5.060773088869e-11       4.898833613978e-14 
   16       1.166368546579e-10       8.377132756785e-16       1.604966564968e-13       1.100186242624e-17       4.875255368297e-10       4.599199172909e-11       6.681499592929e-15 
   17       1.179924550548e-10       8.396117319392e-16       1.709585044254e-13       1.239461597093e-17       4.405992485982e-10       4.198369376012e-11      -2.834673799266e-14 
   18       1.194435316877e-10       8.939796649987e-16       1.814171575133e-13       1.387192838625e-17       3.998686846222e-10       3.846744777856e-11      -5.255591886819e-14 
   19       1.210000589088e-10       9.682676614992e-16       1.909176593677e-13       1.543385307263e-17       3.646878238174e-10       3.539237325748e-11      -6.510461806041e-14 
   20       1.226382488452e-10       1.029353753975e-15       1.986992688813e-13       1.708038639183e-17       3.337011934624e-10       3.265122268583e-11      -6.688103990073e-14 
   21       1.243603874815e-10       1.080647244645e-15       2.048321245127e-13       1.881149275784e-17       3.064224925722e-10       3.019799433253e-11      -6.006074348483e-14 
   22       1.261448645074e-10       1.140723135567e-15       2.097679071908e-13       2.062709481898e-17       2.821995008993e-10       2.797085969700e-11      -4.801594937561e-14 
   23       1.279905585089e-10       1.228722612188e-15       2.139861305244e-13       2.252710327953e-17       2.606995738160e-10       2.595926121733e-11      -3.367523356243e-14 
   24       1.298823024528e-10       1.362730664090e-15       2.180416433618e-13       2.451140703541e-17       2.414261051409e-10       2.414651533750e-11      -2.010378277847e-14 
   25       1.318257388326e-10       1.542950310818e-15       2.223978654698e-13       2.657990793792e-17       2.241526566031e-10       2.252422216726e-11      -9.137113656018e-15 
   26       1.338156534316e-10       1.762285585817e-15       2.274510737200e-13       2.873250872601e-17       2.085668159606e-10       2.106875853585e-11      -2.113026617750e-15 
   27       1.358416481316e-10       2.014438843684e-15       2.332260337356e-13       3.096914348450e-17       1.944817623477e-10       1.975469437294e-11       7.728778598324e-16 
   28       1.378836170775e-10       2.293174539065e-15       2.395589472412e-13       3.328976993604e-17       1.816548102348e-10       1.854828119363e-11      -8.995567224903e-17 
   29       1.399513195313e-10       2.598005624478e-15       2.461479729102e-13       3.569440450967e-17       1.700205974558e-10       1.744635536139e-11      -3.872692775919e-15 
   30       1.420531808348e-10       2.930109689653e-15       2.525533898401e-13       3.818310273407e-17       1.594543589997e-10       1.644583792513e-11      -9.313311845184e-15 
   31       1.441871915392e-10       3.290044283356e-15       2.582544645269e-13       4.075595913392e-17       1.497407492309e-10       1.553394313413e-11      -1.494325402741e-14 
   32       1.463567529400e-10       3.675683980704e-15       2.628629574717e-13       4.341313061304e-17       1.408296881511e-10       1.469995583895e-11      -1.991720353427e-14 
   33       1.485580620509e-10       4.083410211272e-15       2.659784505424e-13       4.615483019389e-17       1.326582178484e-10       1.392590661674e-11      -2.346834723320e-14 
   34       1.507806757606e-10       4.510118816274e-15       2.672179777258e-13       4.898132079422e-17       1.251120568939e-10       1.319034862320e-11      -2.489662455124e-14 
   35       1.530288543323e-10       4.958594328603e-15       2.665280227164e-13       5.189289682456e-17       1.181526446757e-10       1.249576831934e-11      -2.430480651458e-14 
   36       1.553059724753e-10       5.434087073522e-15       2.639844288407e-13       5.488990400475e-17       1.117242192075e-10       1.184995918409e-11      -2.213071108830e-14 
   37       1.576106229509e-10       5.942006274830e-15       2.597049605290e-13       5.797272441655e-17       1.057431977422e-10       1.125760175049e-11      -1.891668823871e-14 
   38       1.599454494482e-10       6.484585217254e-15       2.538180264860e-13       6.114169325499e-17       1.001941738472e-10       1.071708447645e-11      -1.514409225320e-14 
   39       1.623100380282e-10       7.063158471882e-15       2.464892513013e-13       6.439715983945e-17       9.505958370957e-11       1.022208058110e-11      -1.135912453575e-14 
   40       1.646977506834e-10       7.679051329064e-15       2.379337418692e-13       6.773951295120e-17       9.029050394622e-11       9.761948790705e-12      -8.226624152780e-15 
   41       1.670996078543e-10       8.333354167728e-15       2.283531940193e-13       7.116914256996e-17       8.582370574976e-11       9.325018316193e-12      -6.360741099173e-15 
   42       1.695189622772e-10       9.026164012407e-15       2.177153300681e-13       7.468630440423e-17       8.164607088813e-11       8.910575010982e-12      -5.733019280192e-15 
   43       1.719605473536e-10       9.757091325263e-15       2.059077429749e-13       7.829121525095e-17       7.774654056043e-11       8.520185396593e-12      -6.083977413280e-15 
   44       1.744260695351e-10       1.052544369327e-14       1.927961277623e-13       8.198408940792e-17       7.409678514412e-11       8.154297205780e-12      -7.078425267712e-15 
   45       1.769153020329e-10       1.133049218410e-14       1.782356365071e-13       8.576510177497e-17       7.066133003004e-11       7.812395471635e-12      -8.355767861447e-15 
   46       1.794305029661e-10       1.217240811470e-14       1.621125764957e-13       8.963426504961e-17       6.743478337480e-11       7.493765696524e-12      -9.710226487682e-15 
   47       1.819727787713e-10       1.305157548521e-14       1.443125903037e-13       9.359151506199e-17       6.441339895350e-11       7.196786134841e-12      -1.095628586405e-14 
   48       1.845405584521e-10       1.396832908913e-14       1.247081021659e-13       9.763674156450e-17       6.158384728478e-11       6.918605539083e-12      -1.187663154121e-14 
   49       1.871293577879e-10       1.492295275915e-14       1.031575381919e-13       1.017697856880e-16       5.892250292230e-11       6.655056466834e-12      -1.222049802547e-14 
   50       1.897340942642e-10       1.591567906881e-14       7.954365685869e-14       1.059904340820e-16       5.640256224963e-11       6.401849603593e-12      -1.178559356004e-14 
   51       1.923573196807e-10       1.694669241203e-14       5.390261534858e-14       1.102984053605e-16       5.401932804289e-11       6.158740042364e-12      -1.069392275427e-14 
   52       1.950028146111e-10       1.801612372717e-14       2.632858890368e-14       1.146933555800e-16       5.177055615643e-11       5.926342039374e-12      -9.187977517923e-15 
   53       1.976731199782e-10       1.912404746846e-14      -3.061241955272e-15       1.191748785988e-16       4.964888882078e-11       5.704921055428e-12      -7.555931026167e-15 
   54       2.003694212967e-10       2.027047992022e-14      -3.412563073025e-14       1.237425033764e-16       4.764151042835e-11       5.494367345997e-12      -6.133918861445e-15 
   55       2.030921352433e-10       2.145539079914e-14      -6.673300727259e-14       1.283957460823e-16       4.573405881818e-11       5.294344451080e-12      -5.226780801661e-15 
   56       2.058431051983e-10       2.267874529787e-14      -1.008749506770e-13       1.331342877615e-16       4.392428552190e-11       5.104838364595e-12      -4.842003361747e-15 
   57       2.086237483649e-10       2.394046953324e-14      -1.365790475932e-13       1.379578360761e-16       4.221118609778e-11       4.925698531411e-12      -4.893678466814e-15 
   58       2.114343147563e-10       2.524043703088e-14      -1.738768477953e-13       1.428660738120e-16       4.059086741715e-11       4.756455731202e-12      -5.277375797860e-15 
   59       2.142737988017e-10       2.657846755718e-14      -2.128041594449e-13       1.478586583149e-16       3.905636924880e-11       4.596302482803e-12      -5.869247075697e-15 
   60       2.171398509512e-10       2.795432595130e-14      -2.534013443542e-13       1.529352209256e-16       3.759748584337e-11       4.444073448577e-12      -6.525130344889e-15 
   61       2.200299798403e-10       2.936768819500e-14      -2.957055410728e-13       1.580954448673e-16       3.620360055849e-11       4.298555966666e-12      -7.110604497369e-15 
   62       2.229456740766e-10       3.081803336478e-14      -3.397246263274e-13       1.633393206128e-16       3.487333687107e-11       4.159547429965e-12      -7.601062371064e-15 
   63       2.258890529854e-10       3.230472524423e-14      -3.854579062988e-13       1.686669470967e-16       3.360676689538e-11       4.027001554530e-12      -8.002612894651e-15 
   64       2.288616111842e-10       3.382704078227e-14      -4.329037114211e-13       1.740784602082e-16       3.240250832455e-11       3.900710254753e-12      -8.323197582037e-15 
