# Matter power spectrum P(k) at redshift z=0
# for k=1.04573e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045730094155e-05       5.235278217276e+01 
       2.333823146850e-05       1.133182554856e+02 
       3.626447986302e-05       1.731458872005e+02 
       4.927082524675e-05       2.325075629339e+02 
       6.239262216150e-05       2.917814795066e+02 
       7.566611581477e-05       3.512485486680e+02 
       8.912876740770e-05       4.111473538239e+02 
       1.028195938722e-04       4.716965830530e+02 
       1.167795263776e-04       5.331064830632e+02 
       1.310517919992e-04       5.955857501069e+02 
       1.456823229502e-04       6.593462646574e+02 
       1.607201977152e-04       7.246067547153e+02 
       1.762181182468e-04       7.915958972911e+02 
       1.922329270174e-04       8.605551290563e+02 
       2.088261670561e-04       9.317413172111e+02 
       2.260646870245e-04       1.005429404412e+03 
       2.440212917177e-04       1.081915032044e+03 
       2.627754358983e-04       1.161517211660e+03 
       2.824139558169e-04       1.244580915810e+03 
       3.030318278042e-04       1.331479755399e+03 
       3.247329365614e-04       1.422618378472e+03 
       3.476308268245e-04       1.518434746148e+03 
       3.718494005549e-04       1.619401918356e+03 
       3.975235074586e-04       1.726029166075e+03 
       4.247993594872e-04       1.838862252988e+03 
       4.538346805497e-04       1.958482243331e+03 
       4.847984823359e-04       2.085502666913e+03 
       5.178703384631e-04       2.220564404498e+03 
       5.532390162344e-04       2.364327752297e+03 
       5.911003240065e-04       2.517461230370e+03 
       6.316540499055e-04       2.680626899691e+03 
       6.750999123439e-04       2.854461704006e+03 
       7.216325209125e-04       3.039555349299e+03 
       7.714354594921e-04       3.236425382748e+03 
       8.246747451474e-04       3.445490679747e+03 
       8.814920682978e-04       3.667045046800e+03 
       9.419983519149e-04       3.901233804577e+03 
       1.006268243241e-03       4.148035097247e+03 
       1.074336137157e-03       4.407249096651e+03 
       1.146194208747e-03       4.678495982562e+03 
       1.221792713906e-03       4.961224324332e+03 
       1.301042540225e-03       5.254728325530e+03 
       1.383819714489e-03       5.558158824444e+03 
       1.469971357076e-03       5.870567950318e+03 
       1.559322457866e-03       6.190981304484e+03 
       1.651682843679e-03       6.518363895709e+03 
       1.746853795625e-03       6.851674801151e+03 
       1.844633920166e-03       7.189891224462e+03 
       1.944824040632e-03       7.532028284142e+03 
       2.047231024469e-03       7.877152996456e+03 
       2.151670576857e-03       8.224394540410e+03 
       2.257969107450e-03       8.572949615850e+03 
       2.365964816932e-03       8.922085925524e+03 
       2.475508161805e-03       9.271139310054e+03 
       2.586461848603e-03       9.619514600692e+03 
       2.698700490586e-03       9.966679826086e+03 
       2.812110037331e-03       1.031216551839e+04 
       2.926587064536e-03       1.065555286609e+04 
       3.042037990287e-03       1.099647860073e+04 
       3.158378266026e-03       1.133462257059e+04 
       3.275531575956e-03       1.166970754607e+04 
       3.393429067236e-03       1.200149137814e+04 
       3.512008624831e-03       1.232976723255e+04 
       3.631214198627e-03       1.265435483930e+04 
       3.750995186042e-03       1.297510158669e+04 
       3.871305870348e-03       1.329187660447e+04 
       3.992104912951e-03       1.360456990114e+04 
       4.113354896679e-03       1.391309096248e+04 
       4.235021916427e-03       1.421735968652e+04 
       4.357075213239e-03       1.451731660447e+04 
       4.479486847831e-03       1.481291064072e+04 
       4.602231409672e-03       1.510410453629e+04 
       4.725285757968e-03       1.539086495402e+04 
       4.848628791109e-03       1.567314985874e+04 
       4.972241241495e-03       1.595100526188e+04 
       5.096105492878e-03       1.622436920467e+04 
       5.220205417692e-03       1.649328366558e+04 
       5.344526232098e-03       1.675774209932e+04 
       5.469054366701e-03       1.701777245210e+04 
       5.593777351161e-03       1.727337786558e+04 
       5.718683711093e-03       1.752456040501e+04 
       5.843762875854e-03       1.777088906541e+04 
       5.969005095982e-03       1.801332468180e+04 
       6.094401369183e-03       1.825140038543e+04 
       6.219943373909e-03       1.848516034593e+04 
       6.345623409675e-03       1.871469714829e+04 
       6.471434343361e-03       1.893998779597e+04 
       6.597369560851e-03       1.916103111927e+04 
       6.723422923413e-03       1.937807501903e+04 
       6.849588728308e-03       1.959074473380e+04 
       6.975861673187e-03       1.979923061814e+04 
       7.102236823851e-03       2.000373540942e+04 
       7.228709585044e-03       2.020420224784e+04 
       7.355275673943e-03       2.040064796383e+04 
       7.481931096079e-03       2.059315436261e+04 
       7.608672123439e-03       2.078174038848e+04 
       7.735495274521e-03       2.096643136580e+04 
       7.862397296159e-03       2.114726804112e+04 
       7.989375146937e-03       2.132422922443e+04 
       8.116425982032e-03       2.149753359350e+04 
       8.243547139355e-03       2.166712365018e+04 
       8.370736126870e-03       2.183303265703e+04 
       8.497990610962e-03       2.199533669643e+04 
       8.625308405776e-03       2.215400452756e+04 
       8.752687463427e-03       2.230909503586e+04 
       8.880125865000e-03       2.246066718149e+04 
       9.007621812273e-03       2.260871264714e+04 
       9.135173620097e-03       2.275322794543e+04 
       9.262779709379e-03       2.289446876369e+04 
       9.390438600602e-03       2.303241288949e+04 
       9.518148907851e-03       2.316690774845e+04 
       9.645909333295e-03       2.329817717749e+04 
       9.773718662084e-03       2.342609438605e+04 
       9.901575757635e-03       2.355085838601e+04 
       1.002947955726e-02       2.367235061181e+04 
       1.015742906812e-02       2.379062964377e+04 
       1.028542336349e-02       2.390592014409e+04 
       1.041346157927e-02       2.401809831568e+04 
       1.054154291077e-02       2.412741732415e+04 
       1.066966660970e-02       2.423349814356e+04 
       1.079783198143e-02       2.433669298597e+04 
       1.092603838237e-02       2.443696912987e+04 
       1.105428521758e-02       2.453425830777e+04 
       1.118257193857e-02       2.462855935426e+04 
       1.131089804120e-02       2.472018713341e+04 
       1.143926306374e-02       2.480915034969e+04 
       1.156766658512e-02       2.489521077212e+04 
       1.169610822323e-02       2.497850565094e+04 
       1.182458763335e-02       2.505920360189e+04 
       1.195310450678e-02       2.513702082237e+04 
       1.208165856942e-02       2.521228341473e+04 
       1.221024958057e-02       2.528490812947e+04 
       1.233887733173e-02       2.535502589474e+04 
       1.246754164558e-02       2.542265432811e+04 
       1.259624237492e-02       2.548765160985e+04 
       1.272497940177e-02       2.555001801400e+04 
       1.285375263652e-02       2.561012730549e+04 
       1.298256201709e-02       2.566772519320e+04 
       1.311140750824e-02       2.572291618539e+04 
       1.324028910085e-02       2.577578760840e+04 
       1.336920681133e-02       2.582631795220e+04 
       1.349816068097e-02       2.587461273587e+04 
       1.362715077549e-02       2.592041138187e+04 
       1.375617718450e-02       2.596402518407e+04 
       1.388524002104e-02       2.600543547601e+04 
       1.401433942122e-02       2.604455609631e+04 
       1.414347554382e-02       2.608170629798e+04 
       1.427264856996e-02       2.611659818669e+04 
       1.440185870279e-02       2.614945003906e+04 
       1.453110616725e-02       2.617994803915e+04 
       1.466039120979e-02       2.620869613288e+04 
       1.478971409820e-02       2.623523057755e+04 
       1.491907512142e-02       2.625967167154e+04 
       1.504847458939e-02       2.628220832241e+04 
       1.517791283288e-02       2.630281570434e+04 
       1.530739020348e-02       2.632137794758e+04 
       1.543690707343e-02       2.633817507297e+04 
       1.556646383562e-02       2.635300696370e+04 
       1.569606090353e-02       2.636592252685e+04 
       1.582569871126e-02       2.637719616589e+04 
       1.595537771349e-02       2.638643419583e+04 
       1.608509838553e-02       2.639412215387e+04 
       1.621486122340e-02       2.639986644295e+04 
       1.634466674385e-02       2.640387826504e+04 
       1.647451548450e-02       2.640603085334e+04 
       1.660440800392e-02       2.640670601910e+04 
       1.673434488174e-02       2.640559061041e+04 
       1.686432671884e-02       2.640284847233e+04 
       1.699435413747e-02       2.639855185134e+04 
       1.712442778148e-02       2.639255188592e+04 
       1.725454831644e-02       2.638501247507e+04 
       1.738471642992e-02       2.637606347422e+04 
       1.751493283169e-02       2.636539237175e+04 
       1.764519825400e-02       2.635325061448e+04 
       1.777551345178e-02       2.633952269597e+04 
       1.790587920299e-02       2.632442603862e+04 
       1.803629630887e-02       2.630791524457e+04 
       1.816676559428e-02       2.628988713329e+04 
       1.829728790801e-02       2.627050247171e+04 
       1.842786412314e-02       2.624974210695e+04 
       1.855849513742e-02       2.622769243150e+04 
       1.868918187361e-02       2.620422215130e+04 
       1.881992527991e-02       2.617941571878e+04 
       1.895072633036e-02       2.615321641439e+04 
       1.908158602529e-02       2.612596376275e+04 
       1.921250539174e-02       2.609730711547e+04 
       1.934348548396e-02       2.606724100068e+04 
       1.947452738387e-02       2.603623286151e+04 
       1.960563220159e-02       2.600393070734e+04 
       1.973680107592e-02       2.597038130198e+04 
       1.986803517493e-02       2.593571928890e+04 
       1.999933569650e-02       2.589993348805e+04 
       2.013070386889e-02       2.586299784811e+04 
       2.026214095135e-02       2.582488839609e+04 
       2.039364823476e-02       2.578575671030e+04 
       2.052522704222e-02       2.574567149734e+04 
       2.065687872978e-02       2.570440710861e+04 
       2.078860468706e-02       2.566208152448e+04 
       2.092040633802e-02       2.561874498478e+04 
       2.105228514163e-02       2.557467633605e+04 
       2.118424259267e-02       2.552946521144e+04 
       2.131628022249e-02       2.548307919194e+04 
       2.144839959981e-02       2.543581025780e+04 
       2.158060233154e-02       2.538779715092e+04 
       2.171289006367e-02       2.533891214805e+04 
       2.184526448212e-02       2.528885364136e+04 
       2.197772731364e-02       2.523824785818e+04 
       2.211028032679e-02       2.518656519893e+04 
       2.224292533287e-02       2.513416722446e+04 
       2.237566418691e-02       2.508085319806e+04 
       2.250849878876e-02       2.502674239960e+04 
       2.264143108406e-02       2.497174249906e+04 
       2.277446306542e-02       2.491616130779e+04 
       2.290759677349e-02       2.485975968802e+04 
       2.304083429814e-02       2.480266643146e+04 
       2.317417777967e-02       2.474468224666e+04 
       2.330762941005e-02       2.468611169400e+04 
       2.344119143416e-02       2.462670160558e+04 
       2.357486615115e-02       2.456690113770e+04 
       2.370865591578e-02       2.450613056127e+04 
       2.384256313982e-02       2.444485353193e+04 
       2.397659029351e-02       2.438299497998e+04 
       2.411073990702e-02       2.432035016535e+04 
       2.424501457204e-02       2.425714879099e+04 
       2.437941694331e-02       2.419338309166e+04 
       2.451394974032e-02       2.412907000625e+04 
       2.464861574897e-02       2.406410414026e+04 
       2.478341782332e-02       2.399858956991e+04 
       2.491835888741e-02       2.393258107859e+04 
       2.505344193713e-02       2.386604570476e+04 
       2.518867004212e-02       2.379898452994e+04 
