# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# All scalar field variables are dimensionless. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:Omega_phi_scf         17:theta_phi_scf         18:y_phi_scf             19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.389080462503e+04       1.389080462503e-10       1.389080462503e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       1.903443976270e+44       4.655004511898e+44       4.895586111158e-08      -4.895586111158e-08      -1.196840337102e+02       7.749995420021e-28       3.874997710010e-27       5.370564074879e-18       2.000000000017e+00 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.389080462503e+04       1.398804025741e-10       1.379424491066e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       1.851067333040e+44       4.526913791294e+44       4.895586111158e-08      -4.895586111158e-08      -1.196561312552e+02       7.858875105676e-28       3.929437552838e-27       5.446015129567e-18       2.000000000016e+00 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.389080462503e+04       1.408595653921e-10       1.369835641575e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       1.800131926217e+44       4.402347714471e+44       4.895586111158e-08      -4.895586111158e-08      -1.196282288003e+02       7.969284442036e-28       3.984642221017e-27       5.522526196123e-18       2.000000000014e+00 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.389080462503e+04       1.418455823498e-10       1.360313447443e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       1.750598097619e+44       4.281209294592e+44       4.895586111158e-08      -4.895586111158e-08      -1.196003263453e+02       8.081244919162e-28       4.040622459580e-27       5.600112166653e-18       2.000000000013e+00 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.389080462503e+04       1.428385014263e-10       1.350857445325e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       1.702427280332e+44       4.163404213587e+44       4.895586111158e-08      -4.895586111158e-08      -1.195724238904e+02       8.194778329031e-28       4.097389164514e-27       5.678788142483e-18       2.000000000012e+00 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.389080462503e+04       1.438383709363e-10       1.341467175100e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       1.655581968676e+44       4.048840748713e+44       4.895586111158e-08      -4.895586111158e-08      -1.195445214354e+02       8.309906769776e-28       4.154953384886e-27       5.758569437097e-18       2.000000000011e+00 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.389080462503e+04       1.448452395328e-10       1.332142179841e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       1.610025689010e+44       3.937429701143e+44       4.895586111158e-08      -4.895586111158e-08      -1.195166189805e+02       8.426652649984e-28       4.213326324989e-27       5.839471579119e-18       2.000000000010e+00 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.389080462503e+04       1.458591562095e-10       1.322882005800e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       1.565722971329e+44       3.829084326512e+44       4.895586111158e-08      -4.895586111158e-08      -1.194887165255e+02       8.545038693064e-28       4.272519346529e-27       5.921510315335e-18       2.000000000009e+00 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.389080462503e+04       1.468801703030e-10       1.313686202383e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       1.522639321645e+44       3.723720267383e+44       4.895586111158e-08      -4.895586111158e-08      -1.194608140706e+02       8.665087941662e-28       4.332543970827e-27       6.004701613755e-18       2.000000000007e+00 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.389080462503e+04       1.479083314951e-10       1.304554322129e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       1.480741195137e+44       3.621255487561e+44       4.895586111158e-08      -4.895586111158e-08      -1.194329116157e+02       8.786823762154e-28       4.393411881073e-27       6.089061666727e-18       2.000000000006e+00 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.389080462503e+04       1.489436898156e-10       1.295485920684e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       1.439995970030e+44       3.521610208226e+44       4.895586111158e-08      -4.895586111158e-08      -1.194050091607e+02       8.910269849189e-28       4.455134924590e-27       6.174606894083e-18       2.000000000005e+00 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.389080462503e+04       1.499862956443e-10       1.286480556786e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       1.400371922191e+44       3.424706845811e+44       4.895586111158e-08      -4.895586111158e-08      -1.193771067058e+02       9.035450230299e-28       4.517725115145e-27       6.261353946338e-18       2.000000000004e+00 
